"Sex","Race/Ethnicity","Age Group","First Year","Last Year","Cause of Injury","Age in Years","Year","Injuries","Population","records","cv"
"F","A","All","2001","2017","Assault Other Specified","13","2001","280","2,006,423","4","0.662"
"F","W","All","2001","2017","Assault Other Specified","13","2001","158","1,271,586","2","0.942"
"F","B","All","2001","2017","Assault Other Specified","13","2001","110","329,134","1","1"
"F","H","All","2001","2017","Assault Other Specified","13","2001","12","302,780","1","1"
"F","O","All","2001","2017","Assault Other Specified","13","2001","0","102,923",".","0"
"F","A","All","2001","2017","Assault Other Specified","13","2002","166","2,052,880","4","0.642"
"F","W","All","2001","2017","Assault Other Specified","13","2002","122","1,285,749","2","0.844"
"F","B","All","2001","2017","Assault Other Specified","13","2002","44","343,824","2","0.681"
"F","H","All","2001","2017","Assault Other Specified","13","2002","0","316,411",".","0"
"F","O","All","2001","2017","Assault Other Specified","13","2002","0","106,896",".","0"
"F","A","All","2001","2017","Assault Other Specified","13","2003","0","2,144,999",".","0"
"F","W","All","2001","2017","Assault Other Specified","13","2003","0","1,320,528",".","0"
"F","B","All","2001","2017","Assault Other Specified","13","2003","0","367,107",".","0"
"F","H","All","2001","2017","Assault Other Specified","13","2003","0","346,956",".","0"
"F","O","All","2001","2017","Assault Other Specified","13","2003","0","110,408",".","0"
"F","A","All","2001","2017","Assault Other Specified","13","2004","224","2,122,487","2","0.735"
"F","W","All","2001","2017","Assault Other Specified","13","2004","80","1,290,135","1","1"
"F","B","All","2001","2017","Assault Other Specified","13","2004","0","363,294",".","0"
"F","H","All","2001","2017","Assault Other Specified","13","2004","0","358,116",".","0"
"F","O","All","2001","2017","Assault Other Specified","13","2004","0","110,942",".","0"
"F","N","All","2001","2017","Assault Other Specified","13","2004","143",".","1","1"
"F","A","All","2001","2017","Assault Other Specified","13","2005","0","2,104,267",".","0"
"F","W","All","2001","2017","Assault Other Specified","13","2005","0","1,258,756",".","0"
"F","B","All","2001","2017","Assault Other Specified","13","2005","0","361,746",".","0"
"F","H","All","2001","2017","Assault Other Specified","13","2005","0","371,320",".","0"
"F","O","All","2001","2017","Assault Other Specified","13","2005","0","112,445",".","0"
"F","A","All","2001","2017","Assault Other Specified","13","2006","119","2,078,526","1","1"
"F","W","All","2001","2017","Assault Other Specified","13","2006","119","1,225,245","1","1"
"F","B","All","2001","2017","Assault Other Specified","13","2006","0","359,367",".","0"
"F","H","All","2001","2017","Assault Other Specified","13","2006","0","380,244",".","0"
"F","O","All","2001","2017","Assault Other Specified","13","2006","0","113,670",".","0"
"F","A","All","2001","2017","Assault Other Specified","13","2007","0","2,052,707",".","0"
"F","W","All","2001","2017","Assault Other Specified","13","2007","0","1,196,769",".","0"
"F","B","All","2001","2017","Assault Other Specified","13","2007","0","352,445",".","0"
"F","H","All","2001","2017","Assault Other Specified","13","2007","0","388,668",".","0"
"F","O","All","2001","2017","Assault Other Specified","13","2007","0","114,825",".","0"
"F","A","All","2001","2017","Assault Other Specified","13","2008","0","2,048,464",".","0"
"F","W","All","2001","2017","Assault Other Specified","13","2008","0","1,186,909",".","0"
"F","B","All","2001","2017","Assault Other Specified","13","2008","0","344,779",".","0"
